Name,Manufacturer,Technology,STC,PTC,A_c,Length,Width,N_s,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,alpha_sc,beta_oc,T_NOCT,gamma_r
Ablytek 6MN6A270,Ablytek,Mono-c-Si,270,242.1,1.62688,0.992,1.64,60,9.34,38.63,8.81,30.72,0.0521,-0.3137,47.4,-0.4509
Ablytek 6MN6A275,Ablytek,Mono-c-Si,275,246.7,1.62688,0.992,1.64,60,9.42,38.97,8.88,30.99,0.0521,-0.3137,47.4,-0.4509
Ablytek 6MN6A280,Ablytek,Mono-c-Si,280,251.3,1.62688,0.992,1.64,60,9.51,39.31,8.96,31.26,0.0521,-0.3137,47.4,-0.4509
Ablytek 6MN6A285,Ablytek,Mono-c-Si,285,256,1.62688,0.992,1.64,60,9.59,39.65,9.04,31.53,0.0521,-0.3137,47.4,-0.4509
Ablytek 6MN6A290,Ablytek,Mono-c-Si,290,260.6,1.62688,0.992,1.64,60,9.67,39.99,9.12,31.8,0.0521,-0.3137,47.4,-0.4509
Advance Power API-P210,Advance Power,Multi-c-Si,210,186.8,1.63777,0.995,1.646,60,7.6,35.94,7.09,29.64,0.05758,-0.3342,47.6,-0.4501
Advance Power API-P215,Advance Power,Multi-c-Si,215,191.3,1.63777,0.995,1.646,60,7.83,36,7.18,29.94,0.05758,-0.3342,47.6,-0.4501
Advance Power API-P220,Advance Power,Multi-c-Si,220,195.9,1.63777,0.995,1.646,60,7.95,36.06,7.3,30.12,0.05758,-0.3342,47.6,-0.4501
Advance Power API-M225,Advance Power,Mono-c-Si,225,200.7,1.63777,0.995,1.646,60,8.11,37.02,7.5,30,0.05373,-0.3564,46,-0.4796
Advance Power API-P225,Advance Power,Multi-c-Si,225,200.5,1.63777,0.995,1.646,60,8.1,36.42,7.41,30.36,0.05758,-0.3342,47.6,-0.4501
Advance Power API-M230,Advance Power,Mono-c-Si,230,205.3,1.63777,0.995,1.646,60,8.18,37.32,7.55,30.48,0.05373,-0.3564,46,-0.4796
Advance Power API-P230,Advance Power,Multi-c-Si,230,205,1.63777,0.995,1.646,60,8.17,36.6,7.55,30.48,0.05758,-0.3342,47.6,-0.4501
Advance Power API-M235,Advance Power,Mono-c-Si,235,209.8,1.63777,0.995,1.646,60,8.26,37.5,7.59,30.96,0.05373,-0.3564,46,-0.4796
Advance Power API-P235,Advance Power,Multi-c-Si,235,209.6,1.63777,0.995,1.646,60,8.23,36.72,7.68,30.6,0.05758,-0.3342,47.6,-0.4501
Advance Power API-M240,Advance Power,Mono-c-Si,240,214.4,1.63777,0.995,1.646,60,8.29,37.56,7.69,31.2,0.05373,-0.3564,46,-0.4796
Advance Power API-P240,Advance Power,Multi-c-Si,240,214.2,1.63777,0.995,1.646,60,8.42,36.72,7.9,30.54,0.05758,-0.3342,47.6,-0.4501
Advance Power API-M245,Advance Power,Mono-c-Si,245,219,1.63777,0.995,1.646,60,8.32,37.62,7.78,31.5,0.05373,-0.3564,46,-0.4796
Advance Power API-P245,Advance Power,Multi-c-Si,245,218.8,1.63777,0.995,1.646,60,8.46,36.9,8,30.84,0.05758,-0.3342,47.6,-0.4501
Advance Power API-M250,Advance Power,Mono-c-Si,250,223.6,1.63777,0.995,1.646,60,8.59,37.62,8.17,30.6,0.05373,-0.3564,46,-0.4796
Advance Power API-P250,Advance Power,Multi-c-Si,250,223.4,1.63777,0.995,1.646,60,8.52,37.2,8.03,31.2,0.05758,-0.3342,47.6,-0.4501
Advance Power API-M255,Advance Power,Mono-c-Si,255,228.2,1.63777,0.995,1.646,60,8.67,37.68,8.35,30.6,0.05373,-0.3564,46,-0.4796
Advance Power API-P255,Advance Power,Multi-c-Si,255,228,1.63777,0.995,1.646,60,8.56,37.5,8.08,31.56,0.05758,-0.3342,47.6,-0.4501
Advance Power API-M260,Advance Power,Mono-c-Si,260,232.9,1.63777,0.995,1.646,60,8.8,37.8,8.5,30.6,0.05373,-0.3564,46,-0.4796
Advance Power API-P260,Advance Power,Multi-c-Si,260,231.5,1.951195,0.995,1.961,72,7.83,43.2,7.24,35.93,0.05758,-0.3342,47.6,-0.4501
